Name,Gender,City,Passed
Aman,Male,Delhi,Yes
Priya,Female,Mumbai,Yes
Rahul,Male,Bangalore,No
Anjali,Female,Mumbai,Yes
Ravi,Male,Delhi,Yes
Meera,Female,Chennai,No
Arjun,Male,Bangalore,Yes
Neha,Female,Delhi,Yes
Imran,Male,Chennai,No
Sneha,Female,Mumbai,Yes
Raj,Male,Chennai,Yes
Divya,Female,Delhi,No
Kabir,Male,Mumbai,Yes
Simran,Female,Bangalore,Yes
Karan,Male,Delhi,No
Pooja,Female,Mumbai,Yes
Rakesh,Male,Chennai,Yes
Isha,Female,Delhi,No
Rohit,Male,Delhi,Yes
Deepa,Female,Bangalore,Yes
