Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance,Midterm_Score,Final_Score,Assignments,Quizzes_Avg,Participation,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular,Internet_Access,Parent_Education,Family_Income,Stress_Level
S1001,Ananya,Johnson,student1@univ.edu,Female,23,Mathematics,74.98,92.29,80.26,79.93,49.36,40.92,52.9,76.02,B,26.7,No,Yes,Master's,High,2
S1002,Emma,Davis,student2@univ.edu,Female,21,CS,84.04,78.94,41.13,98.5,89.95,44.86,59.09,66.76,C,9.6,Yes,Yes,High School,Medium,6
S1003,Ava,Williams,student3@univ.edu,Female,25,Engineering,72.17,68.86,63.76,64.56,76.71,39.76,64.61,66.58,C,14.2,Yes,Yes,High School,High,1
S1004,Arjun,Brown,student4@univ.edu,Female,21,CS,78.24,83.18,50.98,75.71,75.54,33.25,80.38,69.61,C,9.3,No,Yes,Bachelor's,High,1
S1005,Ava,Smith,student5@univ.edu,Female,18,CS,62.6,92.19,93.11,90.42,58.28,36.84,84.21,87.66,A,16.0,Yes,Yes,High School,High,10
S1006,Rahul,Smith,student6@univ.edu,Female,23,Engineering,64.88,67.23,41.89,95.47,55.53,76.38,65.59,61.18,C,18.0,No,No,Master's,High,5
S1007,Mia,Brown,student7@univ.edu,Female,20,Mathematics,81.87,50.17,93.33,88.76,96.37,92.64,79.89,80.14,B,28.0,Yes,No,High School,High,5
S1008,Noah,Sharma,student8@univ.edu,Female,24,Engineering,63.54,50.78,42.49,66.27,63.32,48.99,91.44,57.55,C,13.9,No,No,High School,Low,6
S1009,Lucas,Singh,student9@univ.edu,Female,24,CS,71.24,69.85,47.75,90.11,44.47,99.08,88.61,65.43,C,10.0,No,Yes,Master's,Low,8
S1010,Arjun,Jones,student10@univ.edu,Female,23,Mathematics,60.22,84.85,78.88,86.45,86.28,35.18,67.92,80.6,B,7.9,Yes,Yes,Bachelor's,Low,8
S1011,Rahul,Singh,student11@univ.edu,Male,18,CS,94.52,74.28,58.2,53.18,58.66,52.76,86.48,65.75,C,20.9,No,Yes,None,High,8
S1012,Maria,Davis,student12@univ.edu,Female,21,Business,95.49,65.97,46.58,85.66,85.65,69.29,88.55,67.49,C,17.3,No,Yes,High School,High,5
S1013,Emma,Smith,student13@univ.edu,Male,24,Physics,80.91,63.51,41.4,55.39,41.89,74.55,65.72,52.72,F,17.7,Yes,Yes,None,High,7
S1014,Sophia,Johnson,student14@univ.edu,Male,21,Mathematics,96.3,53.71,62.57,87.78,53.73,35.39,64.49,63.54,C,9.0,No,Yes,PhD,Low,2
S1015,John,Smith,student15@univ.edu,Male,24,Mathematics,97.19,84.45,74.84,93.57,88.22,43.06,94.63,84.36,B,18.5,Yes,Yes,None,Low,9
S1016,Sara,Patel,student16@univ.edu,Male,23,CS,92.3,89.29,57.49,55.5,53.68,59.9,90.9,69.77,C,26.5,No,No,None,Medium,8
S1017,Arjun,Smith,student17@univ.edu,Male,25,Business,60.28,68.09,62.96,61.11,47.19,53.63,97.15,67.52,C,13.1,Yes,No,None,Low,10
S1018,Maria,Sharma,student18@univ.edu,Male,24,Business,80.75,78.67,60.0,98.59,97.75,47.62,74.86,76.46,B,12.5,No,Yes,None,High,6
S1019,Emma,Williams,student19@univ.edu,Male,24,CS,71.39,42.03,73.53,75.13,43.09,49.51,95.41,66.13,C,11.0,Yes,Yes,High School,Low,6
S1020,Ava,Smith,student20@univ.edu,Male,22,Business,65.8,66.92,94.21,62.1,80.33,83.31,61.88,76.33,B,23.2,Yes,No,PhD,Low,4
S1021,John,Brown,student21@univ.edu,Female,20,CS,74.71,74.78,74.84,76.79,45.42,88.47,66.04,70.86,B,9.7,Yes,Yes,Master's,Low,3
S1022,Mia,Davis,student22@univ.edu,Female,19,Business,61.63,72.5,77.27,50.83,70.73,45.85,82.26,72.21,B,9.4,Yes,No,High School,Medium,5
S1023,Noah,Sharma,student23@univ.edu,Female,24,Business,87.64,61.27,91.52,56.88,60.46,37.94,96.23,76.36,B,26.9,No,Yes,High School,Low,5
S1024,Ananya,Smith,student24@univ.edu,Female,18,Mathematics,70.32,76.3,84.95,77.76,71.78,46.93,54.66,75.85,B,27.4,No,No,None,Low,6
S1025,Rahul,Sharma,student25@univ.edu,Male,21,Physics,96.02,74.82,58.65,67.46,83.56,92.8,94.35,71.86,B,24.5,Yes,No,Bachelor's,Low,6
